shipment_id,order_date,dispatch_date,promised_delivery_date,delivery_date,region,city,customer_type,shipment_type,carrier,product_category,weight_kg,distance_km,shipping_cost,order_value,delivery_status,delay_days,customer_rating,delivery_time_days,on_time_flag,cost_per_km,cost_per_kg
19,5/15/2024,5/15/2024,5/16/2024,5/18/2024,Northern,Hail,Retail,Same-Day,LocalShip,Fashion,3.42,212,44.81,363.34,Delayed,2,4,3,0,0.211367925,13.10233918
20,8/7/2024,8/7/2024,8/10/2024,8/10/2024,Western,Jeddah,Retail,Express,AramexPlus,Medical,19.4,132,41.76,490.11,Delivered,0,4,3,1,0.316363636,2.15257732
21,3/11/2024,3/12/2024,3/12/2024,3/16/2024,Southern,Jizan,Retail,Same-Day,AramexPlus,Fashion,6.86,783,104.9,216.34,Delayed,4,1,4,0,0.133971903,15.29154519
22,2/26/2024,2/26/2024,3/3/2024,3/5/2024,Southern,Jizan,Business,Standard,FastGo,Electronics,6.66,709,60.93,4258.86,Delayed,2,4,8,0,0.085937941,9.148648649
23,11/1/2024,11/1/2024,11/6/2024,11/6/2024,Western,Madinah,Retail,Standard,PrimeRoute,Home,3.03,167,20.77,816.93,Delivered,0,5,5,1,0.124371257,6.854785479
24,8/27/2024,8/27/2024,8/30/2024,8/31/2024,Central,Buraydah,Retail,Standard,LocalShip,Medical,11.27,443,41.17,577.49,Delayed,1,3,4,0,0.092934537,3.653061224
25,12/15/2024,12/16/2024,12/20/2024,12/22/2024,Southern,Jizan,VIP,Standard,FastGo,Electronics,2.51,710,57.01,2824.86,Delayed,2,3,6,0,0.080295775,22.71314741
26,5/30/2024,5/31/2024,6/6/2024,6/8/2024,Southern,Jizan,VIP,Standard,AramexPlus,Electronics,23.4,552,67.58,2071.44,Delayed,2,3,8,0,0.122427536,2.888034188
27,5/14/2024,5/15/2024,5/16/2024,5/19/2024,Northern,Tabuk,Business,Express,LocalShip,Electronics,2.36,727,75.25,3228.93,Delayed,3,2,4,0,0.103507565,31.88559322
28,11/23/2024,11/25/2024,11/28/2024,11/28/2024,Southern,Abha,Retail,Standard,FastGo,Grocery,5.66,437,43.65,60.37,Delivered,0,4,3,1,0.099885584,7.712014134
29,7/10/2024,7/10/2024,7/13/2024,7/13/2024,Southern,Najran,Retail,Express,PrimeRoute,Fashion,7.04,294,47.32,278.97,Delivered,0,5,3,1,0.160952381,6.721590909
30,6/14/2024,6/15/2024,6/17/2024,6/17/2024,Western,Madinah,Retail,Express,FastGo,Medical,10.76,249,40.38,708.15,Delivered,0,4,2,1,0.162168675,3.752788104
31,6/6/2024,6/8/2024,6/14/2024,6/15/2024,Northern,Tabuk,Retail,Standard,FastGo,Grocery,8.81,580,55.26,24.38,Delayed,1,4,7,0,0.095275862,6.272417707
32,2/10/2024,2/11/2024,2/12/2024,2/12/2024,Western,Jeddah,Retail,Express,PrimeRoute,Medical,18.66,65,36.63,1434.3,Delivered,0,4,1,1,0.563538462,1.963022508
33,3/5/2024,3/7/2024,3/12/2024,3/12/2024,Central,Buraydah,Retail,Standard,FastGo,Medical,17.3,207,34.19,367.28,Delivered,0,4,5,1,0.165169082,1.976300578
34,3/25/2024,3/26/2024,3/29/2024,4/1/2024,Western,Madinah,Retail,Standard,LocalShip,Medical,28.74,242,45.09,392.49,Delayed,3,2,6,0,0.186322314,1.568893528
35,10/3/2024,10/5/2024,10/8/2024,10/9/2024,Eastern,Jubail,Retail,Express,LocalShip,Fashion,10.26,405,50,369.01,Delayed,1,3,4,0,0.12345679,4.873294347
36,12/9/2024,12/10/2024,12/15/2024,12/18/2024,Western,Madinah,Retail,Standard,AramexPlus,Home,28.44,325,49,802.12,Delayed,3,1,8,0,0.150769231,1.722925457
37,5/6/2024,5/7/2024,5/9/2024,5/11/2024,Eastern,Khobar,Retail,Express,LocalShip,Electronics,12.5,479,57.14,2473.13,Delayed,2,4,4,0,0.119290188,4.5712
38,10/28/2024,10/29/2024,11/1/2024,11/1/2024,Western,Jeddah,Retail,Express,AramexPlus,Electronics,7.29,209,34.17,1626.13,Delivered,0,5,3,1,0.163492823,4.687242798
39,2/6/2024,2/8/2024,2/14/2024,2/19/2024,Southern,Abha,Retail,Standard,PrimeRoute,Electronics,9.35,712,63.7,884.06,Delayed,5,1,11,0,0.089466292,6.812834225
40,6/18/2024,6/20/2024,6/25/2024,6/25/2024,Central,Riyadh,Retail,Standard,FastGo,Electronics,2.03,330,28.12,2823.35,Delivered,0,5,5,1,0.085212121,13.85221675
41,4/19/2024,4/21/2024,4/26/2024,4/26/2024,Central,Riyadh,Business,Standard,AramexPlus,Home,3.38,111,18.25,1447.71,Delivered,0,5,5,1,0.164414414,5.399408284
42,8/30/2024,8/30/2024,8/31/2024,9/5/2024,Southern,Abha,Retail,Express,LocalShip,Fashion,19.96,157,52.76,132.29,Delayed,5,2,6,0,0.336050955,2.643286573
43,12/3/2024,12/3/2024,12/3/2024,12/4/2024,Northern,Tabuk,Retail,Same-Day,FastGo,Electronics,7.53,803,107.85,1614.79,Delayed,1,3,1,0,0.134308842,14.32270916
44,8/27/2024,8/27/2024,8/30/2024,9/1/2024,Northern,Hail,Business,Standard,LocalShip,Home,0.97,319,32.07,1085.12,Delayed,2,4,5,0,0.100532915,33.06185567
45,6/22/2024,6/22/2024,6/27/2024,6/27/2024,Central,Riyadh,Retail,Standard,FastGo,Home,5.49,119,20.34,167.28,Delivered,0,4,5,1,0.17092437,3.704918033
46,10/1/2024,10/3/2024,10/4/2024,10/4/2024,Central,Riyadh,Business,Same-Day,PrimeRoute,Fashion,21.02,269,64.43,346.41,Delivered,0,5,1,1,0.239516729,3.065176023
47,5/22/2024,5/24/2024,5/28/2024,6/2/2024,Northern,Tabuk,Retail,Standard,LocalShip,Fashion,23.46,596,70.28,308.02,Delayed,5,2,9,0,0.117919463,2.995737425
48,10/8/2024,10/10/2024,10/13/2024,10/15/2024,Northern,Tabuk,Business,Standard,FastGo,Home,11.55,367,45.11,374.11,Delayed,2,3,5,0,0.122915531,3.905627706
49,5/1/2024,5/2/2024,5/5/2024,5/5/2024,Central,Riyadh,Retail,Standard,FastGo,Electronics,1.32,261,24.11,2234.28,Delivered,0,5,3,1,0.092375479,18.26515152
50,4/19/2024,4/21/2024,4/22/2024,4/23/2024,Western,Makkah,Retail,Express,LocalShip,Home,8.51,410,48.5,1328.46,Delayed,1,3,2,0,0.118292683,5.699177438
51,1/2/2024,1/2/2024,1/4/2024,1/5/2024,Northern,Tabuk,Business,Express,PrimeRoute,Home,7.12,556,67.85,278.77,Delayed,1,4,3,0,0.122032374,9.529494382
52,8/4/2024,8/6/2024,8/10/2024,8/12/2024,Northern,Hail,Retail,Standard,LocalShip,Grocery,19.72,835,81.03,155.82,Delayed,2,3,6,0,0.097041916,4.109026369
53,4/7/2024,4/8/2024,4/14/2024,4/16/2024,Southern,Najran,VIP,Standard,LocalShip,Fashion,10.8,828,72.05,54.88,Delayed,2,4,8,0,0.087016908,6.671296296
54,10/4/2024,10/6/2024,10/7/2024,10/7/2024,Eastern,Dammam,Retail,Same-Day,FastGo,Medical,6.05,225,41.74,984.57,Delivered,0,5,1,1,0.185511111,6.899173554
55,10/26/2024,10/26/2024,11/1/2024,11/1/2024,Central,Buraydah,Retail,Standard,FastGo,Electronics,11.38,398,39,4053.28,Delivered,0,5,6,1,0.09798995,3.427065026
56,2/11/2024,2/13/2024,2/17/2024,2/17/2024,Northern,Tabuk,Retail,Standard,FastGo,Medical,8.98,322,39.94,591.28,Delivered,0,4,4,1,0.124037267,4.44766147
57,7/25/2024,7/26/2024,7/30/2024,7/30/2024,Western,Jeddah,Retail,Standard,FastGo,Fashion,1.47,420,32.18,150.16,Delivered,0,4,4,1,0.076619048,21.89115646
58,2/11/2024,2/12/2024,2/15/2024,2/15/2024,Central,Riyadh,Business,Standard,FastGo,Medical,11.85,48,21.88,1308.39,Delivered,0,5,3,1,0.455833333,1.846413502
59,12/8/2024,12/10/2024,12/11/2024,12/12/2024,Northern,Hail,Retail,Express,AramexPlus,Fashion,4.83,400,52.83,399.72,Delayed,1,3,2,0,0.132075,10.9378882
60,3/8/2024,3/9/2024,3/14/2024,3/14/2024,Eastern,Dammam,Retail,Standard,AramexPlus,Home,3.42,58,15.64,756.12,Delivered,0,5,5,1,0.269655172,4.573099415
61,1/5/2024,1/5/2024,1/10/2024,1/12/2024,Eastern,Khobar,Retail,Standard,AramexPlus,Electronics,8.33,380,35.66,2301,Delayed,2,4,7,0,0.093842105,4.280912365
62,4/19/2024,4/19/2024,4/23/2024,4/23/2024,Northern,Tabuk,Retail,Standard,FastGo,Medical,12.22,216,36.69,878.41,Delivered,0,5,4,1,0.169861111,3.002454992
63,2/5/2024,2/5/2024,2/10/2024,2/15/2024,Southern,Jizan,Retail,Standard,PrimeRoute,Grocery,6.87,863,70.38,133.29,Returned,5,1,10,0,0.081552723,10.24454148
64,8/12/2024,8/12/2024,8/14/2024,8/14/2024,Western,Makkah,Retail,Express,AramexPlus,Fashion,8.98,393,47.88,176.43,Delivered,0,4,2,1,0.121832061,5.331848552
65,11/30/2024,11/30/2024,12/1/2024,12/3/2024,Southern,Najran,Business,Same-Day,AramexPlus,Medical,5.83,221,49.37,917.12,Delayed,2,4,3,0,0.223393665,8.468267581
66,3/9/2024,3/11/2024,3/15/2024,3/16/2024,Southern,Abha,VIP,Standard,AramexPlus,Electronics,5.23,244,31.66,1719.31,Delayed,1,4,5,0,0.129754098,6.053537285
67,3/20/2024,3/21/2024,3/25/2024,3/25/2024,Eastern,Dammam,Retail,Standard,FastGo,Medical,7.55,390,35.54,215.85,Delivered,0,5,4,1,0.091128205,4.707284768
68,4/14/2024,4/14/2024,4/17/2024,4/17/2024,Eastern,Khobar,Retail,Express,PrimeRoute,Grocery,6.02,308,39.28,47.08,Delivered,0,4,3,1,0.127532468,6.524916944
69,1/27/2024,1/28/2024,2/2/2024,2/3/2024,Eastern,Jubail,Retail,Standard,LocalShip,Grocery,1.23,302,26.08,44.09,Delayed,1,3,6,0,0.086357616,21.20325203
70,1/2/2024,1/2/2024,1/5/2024,1/6/2024,Central,Buraydah,Retail,Standard,AramexPlus,Electronics,11,370,37.3,3767.54,Delayed,1,3,4,0,0.100810811,3.390909091
71,8/14/2024,8/14/2024,8/16/2024,8/17/2024,Eastern,Dammam,Retail,Express,AramexPlus,Fashion,11.47,476,55.87,152.89,Delayed,1,4,3,0,0.11737395,4.870967742
72,1/5/2024,1/7/2024,1/10/2024,1/11/2024,Southern,Najran,Retail,Express,LocalShip,Medical,5.98,253,42.8,530.89,Delayed,1,3,4,0,0.16916996,7.157190635
73,1/19/2024,1/20/2024,1/22/2024,1/22/2024,Central,Riyadh,VIP,Express,PrimeRoute,Medical,2.04,270,32.67,688.75,Delivered,0,4,2,1,0.121,16.01470588
74,3/6/2024,3/8/2024,3/11/2024,3/11/2024,Eastern,Jubail,Retail,Express,PrimeRoute,Home,0.67,122,21.63,951.32,Delivered,0,5,3,1,0.177295082,32.28358209
75,7/2/2024,7/4/2024,7/7/2024,7/7/2024,Central,Buraydah,Retail,Express,AramexPlus,Electronics,5.69,327,40.17,2284.44,Delivered,0,4,3,1,0.122844037,7.059753954
76,6/30/2024,6/30/2024,7/1/2024,7/1/2024,Western,Madinah,Business,Express,PrimeRoute,Electronics,10.18,407,50.04,1662.1,Delivered,0,4,1,1,0.122948403,4.915520629
77,3/24/2024,3/24/2024,3/28/2024,3/28/2024,Southern,Jizan,VIP,Standard,PrimeRoute,Fashion,7.17,304,37.12,84.14,Delivered,0,4,4,1,0.122105263,5.177126918
78,6/19/2024,6/21/2024,6/26/2024,6/26/2024,Western,Makkah,Retail,Standard,FastGo,Fashion,2.57,393,31.71,205.55,Delivered,0,5,5,1,0.080687023,12.3385214
79,12/25/2024,12/25/2024,12/27/2024,12/27/2024,Northern,Tabuk,Retail,Express,AramexPlus,Fashion,0.97,160,29.29,205.29,Delivered,0,4,2,1,0.1830625,30.19587629
80,4/23/2024,4/24/2024,4/27/2024,4/27/2024,Central,Buraydah,Retail,Standard,FastGo,Home,2.87,152,19.9,280.25,Delivered,0,5,3,1,0.130921053,6.933797909
81,4/26/2024,4/27/2024,4/30/2024,4/30/2024,Western,Makkah,Retail,Standard,AramexPlus,Grocery,1.44,66,14.45,48.26,Delivered,0,5,3,1,0.218939394,10.03472222
82,6/17/2024,6/17/2024,6/23/2024,6/23/2024,Western,Jeddah,Retail,Standard,PrimeRoute,Home,11.84,132,26.07,618.66,Delivered,0,4,6,1,0.1975,2.201858108
83,11/24/2024,11/26/2024,11/30/2024,11/30/2024,Eastern,Dammam,Retail,Standard,AramexPlus,Grocery,1.22,235,22.73,65.44,Delivered,0,4,4,1,0.096723404,18.63114754
84,2/29/2024,3/1/2024,3/4/2024,3/7/2024,Southern,Jizan,Business,Express,AramexPlus,Electronics,10.47,850,94.97,2287.24,Delayed,3,1,6,0,0.111729412,9.070678128
85,2/25/2024,2/26/2024,3/2/2024,3/4/2024,Eastern,Dammam,Business,Standard,AramexPlus,Electronics,13.61,460,43.89,1549.47,Delayed,2,4,7,0,0.095413043,3.22483468
86,8/11/2024,8/12/2024,8/17/2024,8/18/2024,Southern,Jizan,Retail,Standard,AramexPlus,Grocery,1.5,332,33.36,125.63,Delayed,1,4,6,0,0.100481928,22.24
87,10/22/2024,10/24/2024,10/26/2024,10/26/2024,Southern,Najran,Retail,Express,FastGo,Home,10.85,524,70.01,899.09,Delivered,0,5,2,1,0.13360687,6.452534562
88,1/1/2024,1/1/2024,1/4/2024,1/4/2024,Western,Makkah,VIP,Standard,FastGo,Home,3.09,308,27.87,444.34,Delivered,0,5,3,1,0.090487013,9.019417476
89,8/8/2024,8/9/2024,8/13/2024,8/17/2024,Southern,Najran,Retail,Standard,PrimeRoute,Grocery,10.19,706,64.14,145.45,Delayed,4,2,8,0,0.090849858,6.294406281
90,6/2/2024,6/4/2024,6/5/2024,6/7/2024,Central,Buraydah,Business,Same-Day,AramexPlus,Electronics,16.64,354,65.62,3508.89,Delayed,2,4,3,0,0.185367232,3.943509615
91,7/25/2024,7/26/2024,7/26/2024,7/28/2024,Southern,Jizan,Retail,Same-Day,LocalShip,Grocery,2.65,272,49.38,96.58,Delayed,2,4,2,0,0.181544118,18.63396226
92,8/3/2024,8/5/2024,8/8/2024,8/8/2024,Eastern,Jubail,Retail,Standard,PrimeRoute,Fashion,1.5,109,16.65,119.46,Delivered,0,5,3,1,0.152752294,11.1
93,10/7/2024,10/7/2024,10/11/2024,10/14/2024,Northern,Tabuk,Retail,Standard,AramexPlus,Home,6.81,789,65.88,382.42,Delayed,3,2,7,0,0.083498099,9.674008811
94,8/8/2024,8/10/2024,8/11/2024,8/11/2024,Central,Buraydah,Retail,Express,AramexPlus,Fashion,7.35,348,43.26,322.75,Delivered,0,5,1,1,0.124310345,5.885714286
95,8/14/2024,8/14/2024,8/16/2024,8/17/2024,Southern,Najran,Retail,Express,AramexPlus,Home,11.23,335,55.75,387,Delayed,1,3,3,0,0.16641791,4.964381122
96,12/3/2024,12/4/2024,12/10/2024,12/13/2024,Northern,Tabuk,VIP,Standard,LocalShip,Fashion,9.65,448,48.14,123.65,Delayed,3,2,9,0,0.107455357,4.988601036
97,4/30/2024,5/2/2024,5/6/2024,5/8/2024,Central,Buraydah,Business,Standard,AramexPlus,Electronics,17.69,429,45.6,3573.42,Delayed,2,3,6,0,0.106293706,2.57772753
98,1/13/2024,1/15/2024,1/18/2024,1/18/2024,Eastern,Dammam,Business,Standard,PrimeRoute,Fashion,5.55,441,36.49,154.5,Delivered,0,4,3,1,0.082743764,6.574774775
99,2/7/2024,2/8/2024,2/9/2024,2/9/2024,Central,Riyadh,Retail,Express,LocalShip,Medical,6.74,123,28,1415.76,Delivered,0,5,1,1,0.227642276,4.154302671
100,9/10/2024,9/12/2024,9/15/2024,9/16/2024,Northern,Hail,Retail,Express,PrimeRoute,Home,9.03,768,86.77,1496.77,Delayed,1,4,4,0,0.112981771,9.609080842
101,2/24/2024,2/26/2024,2/29/2024,2/29/2024,Northern,Tabuk,Business,Express,PrimeRoute,Electronics,7.05,388,54.66,2722.92,Delivered,0,5,3,1,0.140876289,7.753191489
102,8/25/2024,8/25/2024,8/28/2024,8/28/2024,Northern,Tabuk,Retail,Express,PrimeRoute,Medical,7.45,327,50.4,1216.21,Delivered,0,4,3,1,0.15412844,6.765100671
103,3/9/2024,3/9/2024,3/13/2024,3/13/2024,Central,Riyadh,Retail,Standard,FastGo,Home,8.48,430,38.28,1102.65,Delivered,0,5,4,1,0.089023256,4.514150943
104,9/15/2024,9/16/2024,9/20/2024,9/23/2024,Northern,Hail,Business,Standard,LocalShip,Medical,5.37,649,56.1,960.93,Delayed,3,2,7,0,0.086440678,10.44692737
105,8/18/2024,8/19/2024,8/19/2024,8/21/2024,Northern,Hail,Retail,Same-Day,PrimeRoute,Home,7.32,722,99.76,1386.25,Delayed,2,4,2,0,0.138171745,13.6284153
106,9/5/2024,9/7/2024,9/9/2024,9/9/2024,Eastern,Dammam,Retail,Express,AramexPlus,Medical,1.29,111,21.56,1131.02,Delivered,0,4,2,1,0.194234234,16.71317829
107,12/31/2024,1/2/2025,1/2/2025,1/2/2025,Western,Makkah,VIP,Same-Day,LocalShip,Electronics,2.4,321,44.75,1060.98,Delivered,0,5,0,1,0.1394081,18.64583333
108,6/12/2024,6/14/2024,6/14/2024,6/15/2024,Eastern,Dammam,Business,Same-Day,AramexPlus,Grocery,4.86,443,57.66,57,Delayed,1,3,1,0,0.130158014,11.86419753
109,4/28/2024,4/30/2024,5/3/2024,5/5/2024,Southern,Abha,Retail,Express,PrimeRoute,Fashion,11.08,343,56.18,206.13,Delayed,2,3,5,0,0.163790087,5.070397112
110,7/31/2024,8/2/2024,8/5/2024,8/6/2024,Northern,Tabuk,Retail,Express,PrimeRoute,Electronics,2.53,862,85.99,2385.16,Delayed,1,4,4,0,0.099756381,33.98814229
111,2/1/2024,2/3/2024,2/3/2024,2/5/2024,Northern,Hail,Retail,Same-Day,LocalShip,Home,2.95,761,96.79,1465.76,Delayed,2,3,2,0,0.127187911,32.81016949
112,12/22/2024,12/23/2024,12/29/2024,12/30/2024,Western,Makkah,Retail,Standard,LocalShip,Medical,21.04,82,30.93,193.91,Delayed,1,4,7,0,0.377195122,1.470057034
113,6/29/2024,7/1/2024,7/3/2024,7/3/2024,Central,Buraydah,Retail,Express,LocalShip,Electronics,7.69,51,24.31,2624.3,Delivered,0,4,2,1,0.476666667,3.161248375
114,10/6/2024,10/7/2024,10/12/2024,10/13/2024,Eastern,Khobar,Retail,Standard,LocalShip,Medical,6.65,194,25.02,795.82,Delayed,1,4,6,0,0.128969072,3.762406015
115,5/19/2024,5/19/2024,5/22/2024,5/25/2024,Southern,Abha,Retail,Express,LocalShip,Fashion,3.61,742,77.98,233.93,Delayed,3,2,6,0,0.10509434,21.60110803
116,6/21/2024,6/22/2024,6/27/2024,6/27/2024,Northern,Hail,Retail,Standard,FastGo,Home,6.84,448,45.45,423.5,Delivered,0,4,5,1,0.101450893,6.644736842
117,11/14/2024,11/15/2024,11/16/2024,11/18/2024,Northern,Tabuk,Retail,Express,LocalShip,Fashion,10.71,338,55.33,374.37,Delayed,2,3,3,0,0.163698225,5.166199813
118,10/15/2024,10/16/2024,10/19/2024,10/22/2024,Southern,Abha,VIP,Express,LocalShip,Medical,14.54,551,76.72,553.59,Delayed,3,1,6,0,0.13923775,5.27647868
119,8/24/2024,8/24/2024,8/29/2024,8/29/2024,Central,Riyadh,Retail,Standard,LocalShip,Fashion,2.59,104,17.27,339.32,Delivered,0,5,5,1,0.166057692,6.667953668
120,6/16/2024,6/16/2024,6/19/2024,6/19/2024,Western,Jeddah,VIP,Express,AramexPlus,Home,18.54,253,48.73,475.29,Delivered,0,4,3,1,0.192608696,2.62837109
121,7/13/2024,7/14/2024,7/15/2024,7/15/2024,Western,Makkah,Retail,Express,AramexPlus,Grocery,15.95,245,45.51,157.45,Delivered,0,5,1,1,0.185755102,2.853291536
122,8/28/2024,8/30/2024,9/3/2024,9/4/2024,Eastern,Khobar,Business,Standard,AramexPlus,Electronics,5.39,234,26.01,1709.05,Delayed,1,3,5,0,0.111153846,4.825602968
123,11/28/2024,11/30/2024,12/3/2024,12/3/2024,Central,Riyadh,Retail,Standard,AramexPlus,Fashion,5.35,265,27.53,286.56,Delivered,0,5,3,1,0.103886792,5.145794393
124,4/12/2024,4/14/2024,4/18/2024,4/18/2024,Central,Riyadh,Retail,Standard,FastGo,Fashion,9.87,165,26.15,173.32,Delivered,0,4,4,1,0.158484848,2.649442756
125,8/30/2024,8/31/2024,9/6/2024,9/6/2024,Central,Riyadh,Retail,Standard,PrimeRoute,Fashion,2.11,106,16.99,455.01,Delivered,0,4,6,1,0.160283019,8.052132701
126,7/7/2024,7/7/2024,7/8/2024,7/10/2024,Central,Riyadh,Retail,Express,LocalShip,Grocery,11.02,328,45.78,88.96,Delayed,2,3,3,0,0.139573171,4.154264973
127,6/8/2024,6/9/2024,6/14/2024,6/14/2024,Western,Madinah,Retail,Standard,FastGo,Fashion,7.44,212,26.55,80.71,Delivered,0,5,5,1,0.125235849,3.568548387
128,12/12/2024,12/12/2024,12/15/2024,12/15/2024,Central,Riyadh,Retail,Express,AramexPlus,Medical,11.42,314,45.29,1029.14,Delivered,0,4,3,1,0.144235669,3.965849387
129,10/30/2024,10/30/2024,10/31/2024,11/2/2024,Northern,Hail,Business,Same-Day,PrimeRoute,Electronics,2.36,647,84.94,4308.84,Delayed,2,3,3,0,0.131282844,35.99152542
130,3/2/2024,3/2/2024,3/3/2024,3/3/2024,Western,Jeddah,Retail,Same-Day,AramexPlus,Medical,1.36,469,55.26,677.91,Delivered,0,4,1,1,0.11782516,40.63235294
131,8/7/2024,8/7/2024,8/10/2024,8/10/2024,Southern,Abha,Retail,Express,AramexPlus,Medical,0.53,230,34.2,481,Delivered,0,4,3,1,0.148695652,64.52830189
132,8/3/2024,8/5/2024,8/10/2024,8/11/2024,Eastern,Dammam,Retail,Standard,AramexPlus,Electronics,11.43,324,35.34,1333.1,Delayed,1,3,6,0,0.109074074,3.091863517
133,11/21/2024,11/23/2024,11/26/2024,11/28/2024,Northern,Tabuk,Business,Standard,LocalShip,Grocery,8.46,180,30.92,64.94,Delayed,2,4,5,0,0.171777778,3.654846336
134,9/24/2024,9/25/2024,9/28/2024,10/2/2024,Northern,Tabuk,Retail,Standard,LocalShip,Fashion,8.61,637,58.49,305.58,Delayed,4,2,7,0,0.091821036,6.793263647
135,8/11/2024,8/11/2024,8/11/2024,8/11/2024,Eastern,Jubail,Retail,Same-Day,LocalShip,Home,1.83,156,30.82,1421.97,Delivered,0,4,0,1,0.197564103,16.84153005
136,2/14/2024,2/16/2024,2/21/2024,2/24/2024,Southern,Jizan,Business,Standard,AramexPlus,Fashion,7.91,501,49.65,214.11,Delayed,3,1,8,0,0.099101796,6.276864728
137,10/18/2024,10/20/2024,10/23/2024,10/23/2024,Eastern,Khobar,Retail,Standard,PrimeRoute,Home,8.83,190,26.56,901.4,Delivered,0,5,3,1,0.139789474,3.00792752
138,1/15/2024,1/16/2024,1/17/2024,1/20/2024,Southern,Najran,Retail,Express,LocalShip,Grocery,10.69,496,67.63,61.93,Delayed,3,2,4,0,0.136350806,6.32647334
139,4/18/2024,4/19/2024,4/24/2024,4/29/2024,Northern,Hail,Business,Standard,PrimeRoute,Home,4.92,858,68.2,113.28,Delayed,5,1,10,0,0.079487179,13.86178862
140,11/1/2024,11/2/2024,11/5/2024,11/6/2024,Eastern,Khobar,Retail,Standard,AramexPlus,Grocery,10.55,255,31.19,158.29,Delayed,1,3,4,0,0.122313725,2.956398104
141,4/7/2024,4/7/2024,4/10/2024,4/10/2024,Eastern,Jubail,Retail,Standard,FastGo,Medical,5.87,497,39.55,502.13,Delivered,0,5,3,1,0.079577465,6.737649063
142,10/11/2024,10/11/2024,10/17/2024,10/18/2024,Central,Riyadh,Retail,Standard,LocalShip,Home,12.81,212,30.85,648.28,Delayed,1,3,7,0,0.145518868,2.408274785
